"density(g/cc)","porosity(%)","Gamma(API)","sonic(ms/m","resistivity(ohm-m)"
2.75,7,109.9472,176.33,7.0639
2.8,19,134.2898,211.3802,5.5186
2.9,25,4.4817,161,8.806
2.95,17,7.3891,160.3401,9.1018
3,20,20.0855,159.59,9.2303
3.1,18,12.1825,158.46,9.2834
3.2,26,33.1155,158.6499,9.2064
3.3,18,39.6464,159.82,9.0351
2,50,49.4024,211.3802,5.5186
2.2,56,54.5982,208.8801,5.3462
1,85,60.3403,214.6301,5.2364
2.9,15,66.6863,219.5,5.2154
2.77,20,73.6998,217.8801,5.3543
3.0565,8.595,28.142,161,8.806
3.0146,8.3128,22.249,160.3401,9.1018
2.8735,8.1459,21.36,159.59,9.2303
2.8983,8.0903,18.498,158.46,9.2834
2.8826,8.2699,20.875,158.6499,9.2064
2.8163,8.1681,20.876,159.82,9.0351
2.946,12.359,29.596,160.1001,8.9756
2.9329,12.125,29.472,160.25,8.9765
2.9531,17.239,9.9918,161.18,8.9471
2.8481,17.745,9.7369,161.79,8.9052
2.9074,13.273,52.031,151.1999,8.3042
2.8769,13.003,52.505,152.79,7.7728
2.9011,13.399,20.16,157.62,10.2572
2.9326,13.836,21.454,153.91,10.4481
2.9781,14.272,19.321,149.79,9.7843
2.9762,14.513,16.906,147.45,9.2694
2.9874,14.542,16.486,163.5299,7.4463
3.0294,14.473,18.412,162.59,7.8906
2.7592,9.3483,123.97,170.0401,7.9441
2.7359,9.6893,125.9399,171.09,8.0384
2.7715,10.203,125.21,170.5201,7.7849
2.7459,10.432,123.8,169.9,7.5969
2.7205,10.5,125.49,169.9299,7.5077
2.6489,10.339,126.2799,171.0799,7.6333
2.6985,10.148,127.14,171.6499,8.005
2.7573,9.9967,126.71,171.41,8.537
2.7542,9.8567,126.6199,170.89,8.8122
2.7543,9.8655,124.6399,168.7399,8.8351
2.7397,10.098,122.6101,167.64,8.5409
2.7162,10.445,113.7899,168.4,8.1582
2.7198,10.45,110.19,169.48,7.7811
2.7295,9.7442,109.51,170.29,7.5533
2.8622,12.696,53.741,161,8.806
2.8776,12.225,53.555,160.3401,9.1018
2.8879,11.62,40.918,159.59,9.2303
2.8604,11.261,53.483,158.46,9.2834
2.9151,11.218,40.918,158.6499,9.2064
2.9245,11.52,31.971,159.82,9.0351
2.9583,11.981,25.599,160.1001,8.9756
2.946,12.514,26.332,160.25,8.9765
2.9791,12.991,18.027,161.18,8.9471
2.8782,11.73,26.005,161.79,8.9052
2.8965,11.493,24.736,151.1999,8.3042
2.9061,11.447,25.283,152.79,7.7728
2.9066,11.644,28.086,157.62,10.2572
2.9012,11.907,29.096,153.91,10.4481
2.8704,12.34,29.456,149.79,9.7843
2.9191,12.81,31.269,147.45,9.2694
2.8778,13.345,28.49,163.5299,7.4463
2.9239,13.883,27.453,162.59,7.8906
2.8826,14.413,28.581,163.34,8.296
2.8438,13.978,29.016,161,8.806
2.8411,12.656,29.514,160.3401,9.1018
2.858,10.551,36.804,159.59,9.2303
2.8524,16.931,11.68,158.46,9.2834
2.7498,19.09,57.072,165.6899,8.6583
2.7407,18.488,57.919,165.9201,8.6058
2.8003,17.81,69.194,167.58,8.517
2.7544,17.232,67.796,169.1899,8.377
2.7444,17.011,69.685,165,7.9041
2.7717,16.95,69.566,171.7001,7.7984
2.679,18.328,69.894,163,7.7337
2.5581,18.043,68.599,170.7201,7.4614
2.0616,17.149,67.668,162,7.2871
1.9125,16.014,72.51,171.11,7.1639
1.9952,15.047,73.637,171.91,7.0547
2.6,8,99.4843,167.17,6.5206
2.7,10,109.9472,168.53,6.6097
2.75,15,121.5104,169.49,6.848
2.75,7,109.9472,170.7999,6.9395
2.8,19,134.2898,165.6899,8.6583
2.9,25,4.4817,161,8.806
2.95,17,7.3891,160.3401,9.1018
3,20,20.0855,159.59,9.2303
3.1,18,12.1825,158.46,9.2834
3.2,26,33.1155,158.6499,9.2064
3.3,18,39.6464,159.82,9.0351
2,50,49.4024,165.6899,8.6583
2.2,56,54.5982,165.9201,8.6058
1,85,60.3403,167.58,8.517
2.9,15,66.6863,169.1899,8.377
2.77,20,73.6998,170.51,7.9041
